date,date_iso,description,merchant,type,money_in,money_out,balance,direction,category
01 Jul 25,2025-07-01,Netflix,Netflix,DEB,,15.73,1443.41,OUT,Subscriptions
01 Jul 25,2025-07-01,Amazon Prime,Amazon Prime,DEB,,8.99,1434.42,OUT,Subscriptions
01 Jul 25,2025-07-01,Gym Membership,Gym Membership,DEB,,20.74,1413.68,OUT,Subscriptions
01 Jul 25,2025-07-01,Tesco,Tesco,DEB,,50.15,1363.53,OUT,Groceries
01 Jul 25,2025-07-01,TfL,TfL,DEB,,4.7,1358.83,OUT,Transport
01 Jul 25,2025-07-01,Boots,Boots,DEB,,16.49,1342.34,OUT,Shopping
01 Jul 25,2025-07-01,Starbucks,Starbucks,DEB,,5.77,1336.57,OUT,Coffee & Cafe
01 Jul 25,2025-07-01,Costa Coffee,Costa Coffee,DEB,,3.59,1332.98,OUT,Coffee & Cafe
02 Jul 25,2025-07-02,Council Tax,Council Tax,DEB,,170.46,1162.52,OUT,Bills
02 Jul 25,2025-07-02,Thames Water,Thames Water,DEB,,44.33,1118.19,OUT,Bills
02 Jul 25,2025-07-02,Spotify,Spotify,DEB,,10.99,1107.2,OUT,Subscriptions
02 Jul 25,2025-07-02,TfL,TfL,DEB,,7.62,1099.58,OUT,Transport
02 Jul 25,2025-07-02,Boots,Boots,DEB,,12.89,1086.69,OUT,Shopping
03 Jul 25,2025-07-03,Spotify,Spotify,DEB,,10.99,1075.7,OUT,Subscriptions
03 Jul 25,2025-07-03,iCloud Storage,iCloud Storage,DEB,,2.48,1073.22,OUT,Subscriptions
03 Jul 25,2025-07-03,TfL,TfL,DEB,,4.96,1068.26,OUT,Transport
04 Jul 25,2025-07-04,British Gas,British Gas,DEB,,52.65,1015.61,OUT,Bills
04 Jul 25,2025-07-04,TfL,TfL,DEB,,6.58,1009.03,OUT,Transport
04 Jul 25,2025-07-04,Nandos,Nandos,DEB,,13.51,995.52,OUT,Eating Out
04 Jul 25,2025-07-04,McDonalds,McDonalds,DEB,,11.36,984.16,OUT,Eating Out
04 Jul 25,2025-07-04,Uber Eats,Uber Eats,DEB,,27.56,956.6,OUT,Food Delivery
04 Jul 25,2025-07-04,Amazon,Amazon,DEB,,51.17,905.43,OUT,Shopping
04 Jul 25,2025-07-04,Starbucks,Starbucks,DEB,,4.43,901.0,OUT,Coffee & Cafe
05 Jul 25,2025-07-05,Council Tax,Council Tax,DEB,,175.53,725.47,OUT,Bills
05 Jul 25,2025-07-05,Gym Membership,Gym Membership,DEB,,31.29,694.18,OUT,Subscriptions
05 Jul 25,2025-07-05,Tesco,Tesco,DEB,,30.36,663.82,OUT,Groceries
05 Jul 25,2025-07-05,TfL,TfL,DEB,,5.79,658.03,OUT,Transport
05 Jul 25,2025-07-05,Deliveroo,Deliveroo,DEB,,33.52,624.51,OUT,Food Delivery
06 Jul 25,2025-07-06,Nandos,Nandos,DEB,,24.99,599.52,OUT,Eating Out
07 Jul 25,2025-07-07,Lidl,Lidl,DEB,,25.45,574.07,OUT,Groceries
07 Jul 25,2025-07-07,TfL,TfL,DEB,,7.12,566.95,OUT,Transport
07 Jul 25,2025-07-07,Uber,Uber,DEB,,24.22,542.73,OUT,Transport
08 Jul 25,2025-07-08,Aldi,Aldi,DEB,,31.51,511.22,OUT,Groceries
08 Jul 25,2025-07-08,TfL,TfL,DEB,,4.09,507.13,OUT,Transport
08 Jul 25,2025-07-08,Uber,Uber,DEB,,9.89,497.24,OUT,Transport
09 Jul 25,2025-07-09,Tesco,Tesco,DEB,,36.77,460.47,OUT,Groceries
09 Jul 25,2025-07-09,Aldi,Aldi,DEB,,40.84,419.63,OUT,Groceries
09 Jul 25,2025-07-09,TfL,TfL,DEB,,6.45,413.18,OUT,Transport
09 Jul 25,2025-07-09,Shell Fuel,Shell Fuel,DEB,,33.01,380.17,OUT,Transport
10 Jul 25,2025-07-10,Tesco,Tesco,DEB,,60.24,319.93,OUT,Groceries
